Name,Region,Image,IsDisbanded,RenamedTo,IsLowercase,Short,OverviewPage
Aftershock Esports,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/Aftershock Esportslogo square.png,1,,0,ASE,Aftershock Esports
against All authority,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/aAaLogo_2.png,1,,1,aAa,Against All authority
AGD E-Sports,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/AGD E-Sportslogo profile.png,1,,0,AGD,AGD E-Sports
AGEM,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Association de Gaming et d'Esport de Monslogo square.png,1,,0,AGEM,Association de Gaming et d'Esport de Mons
AGO esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/AGO esportslogo square.png,1,,0,AGO,AGO esports
AGO ROGUE,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/AGO ROGUElogo square.png,1,,0,RGO,AGO ROGUE
Agresiv,LAS,https://lol.fandom.com/wiki/Special:Redirect/file/Agresivlogo square.png,1,,0,AGV,Agresiv
Aguilas Doradas,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Aguilas Doradaslogo square.png,1,,0,AD,Aguilas Doradas
ahq e-Sports Club Korea,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/AHQ2.png,1,,1,ahq.KR,Ahq e-Sports Club Korea
ahq eSports Club,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Ahq eSports Clublogo square.png,1,,1,ahq,Ahq eSports Club
ahq Fighter,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Ahq Fighterlogo square.png,1,,1,AF,Ahq Fighter
ahq Girls,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Ahq logo new.png,1,,1,ahq G,Ahq Girls
ahq Snipers,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Ahq Snipers.jpg,1,,1,ahq S,Ahq Snipers
AKA HERO,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/AKA HEROlogo square.png,0,,0,AKA,AKA HERO
Akademia,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Akademialogo square.png,1,,0,AKD,Akademia
Akademia Hatiego 2,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Akademia Hatiego 2logo square.png,1,,0,AH2,Akademia Hatiego 2
AKIHABARA ENCOUNT,Japan,https://lol.fandom.com/wiki/Special:Redirect/file/AKIHABARA ENCOUNTlogo square.png,1,,0,AE,AKIHABARA ENCOUNT
Akroma,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Akromalogo square.png,1,,0,AKR,Akroma
Akuma Esports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Akuma Esportslogo square.png,1,,0,AKM,Akuma Esports
Akuma Scythes,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Akuma Scytheslogo square.png,1,,0,AKS,Akuma Scythes
Albus NoX Luna,CIS,https://lol.fandom.com/wiki/Special:Redirect/file/Albus NoXlogo square.png,1,,0,ANX,Albus NoX Luna
Alice Queen,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Alice Queenlogo square.png,1,,0,AQ,Alice Queen
AlienTech eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Team_alientech.png,1,,0,ALI,AlienTech eSports
Alienware Arena,Korea,https://lol.fandom.com/wiki/Special:Redirect/file/Alienware Arenalogo square.png,1,,0,AWA,Alienware Arena
AliorBank Team,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/AliorBank Teamlogo square.png,1,,0,AB,AliorBank Team
All Combo,China,https://lol.fandom.com/wiki/Special:Redirect/file/All Combologo square.png,1,,0,AC,All Combo
All for One Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/All for One Gaminglogo profile.png,0,,0,A41G,All for One Gaming
All Gamers,China,https://lol.fandom.com/wiki/Special:Redirect/file/AG_logo.png,1,,0,AG,All Gamers
All Knights,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/All Knightslogo profile.png,1,,0,AK,All Knights
Alliance,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Alliancelogo profile.png,1,Elements,0,ALL,Alliance
Alpaka Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Alpaka Esportslogo square.png,1,,0,ALP,Alpaka Esports
Alpha Esports,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Alpha Esportslogo square.png,1,Hurricane Gaming,0,ALF,Alpha Esports
Alpha Sydney,Oceania,https://lol.fandom.com/wiki/Special:Redirect/file/Alpha_Sydney_2logo_square.png,1,,0,AS,Alpha Sydney
Alpha Team,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Alpha_Teamlogo_square.png,1,TWOTWOEIGHT,0,APT,Alpha Team
Also Known As,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Also Known Aslogo square.png,1,,0,AKA,Also Known As
Altay Espor,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Altay Esporlogo profile.png,1,,0,ALT,Altay Espor
ALTERNATE aTTaX,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/ALTERNATE aTTaXlogo square.png,1,,0,ATN,ALTERNATE aTTaX
Alternative Gaming,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Alternative Gaminglogo profile.png,1,,0,ALG,Alternative Gaming
ALTOKEKW Españita,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/ALTOKEKW Españitalogo square.png,1,,0,OLE,ALTOKEKW Españita
Always With Honor,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Always With Honor (Turkish Team)logo square.png,1,,0,AWH,Always With Honor (Turkish Team)
Always With Honor,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/AWH.png,1,,0,AWH,Always With Honor
AM All-Stars,North America,https://lol.fandom.com/wiki/Special:Redirect/file/AM All-Starslogo square.png,1,,0,STAR,AM All-Stars
Ambys Team,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Ambys Teamlogo square.png,0,,0,AMBS,Ambys Team
Anáhuac Esports,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Anáhuac Esportslogo square.png,1,,0,ANH,Anáhuac Esports
aNc Legends,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/ANc Legendslogo square.png,0,,1,ANC,ANc Legends
aNc Outplayed,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/ANc Outplayedlogo square.png,1,,1,OP,ANc Outplayed
Ancestors eSports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Ancestors eSportslogo square.png,1,,0,ACR,Ancestors eSports
Andes Esports,LAS,https://lol.fandom.com/wiki/Special:Redirect/file/Andes Esportslogo square.png,1,,0,AE,Andes Esports
ANEW Academy,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Academylogo square.png,1,,0,ANW.A,ANEW Academy
ANEW Blaze,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Blazelogo square.png,1,,0,ANW.B,ANEW Blaze
ANEW Dawn,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Dawnlogo square.png,1,,0,ANW.D,ANEW Dawn
ANEW Esports,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Esportslogo square.png,1,,0,ANW,ANEW Esports
ANEW Genesis,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Genesislogo square.png,1,,0,ANW.G,ANEW Genesis
ANEW Hope,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Hopelogo square.png,1,,0,ANW.H,ANEW Hope
ANEW Rising,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANEW Risinglogo square.png,1,,0,ANW.R,ANEW Rising
Anexis eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Anexis_eSports_logo.png,1,,0,AXS,Anexis eSports
Angry Bats,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Angry Batslogo square.png,1,,0,BATS,Angry Bats
Angry Bats Academy,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Angry Bats Academylogo square.png,1,,0,BATS.A,Angry Bats Academy
Anima,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Animalogo square.png,1,,0,ANM,Anima
Animate eSports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Animate eSportslogo profile.png,1,,0,aN,Animate eSports
Ankora Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Ankora Gaminglogo profile.png,1,,0,ANK,Ankora Gaming
ANON,North America,https://lol.fandom.com/wiki/Special:Redirect/file/ANON (North American Team)logo square.png,1,,0,ANON,ANON (North American Team)
Anorthosis Famagusta Esports,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Anorthosis Famagusta Esportslogo square.png,1,,0,ANO,Anorthosis Famagusta Esports
Anorthosis Famagusta Esports Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Anorthosis Famagusta Esports Academylogo square.png,1,,0,ANO.A,Anorthosis Famagusta Esports Academy
Anorthosis Famagusta Esports Revolution,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Anorthosis Famagusta Esports Revolutionlogo square.png,1,,0,ANO.R,Anorthosis Famagusta Esports Revolution
Another Troll Team,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Another Troll Teamlogo square.png,1,,0,ANT,Another Troll Team
ANT Gaming,Turkey,https://lol.fandom.com/wiki/Special:Redirect/file/ANT_logo.png,1,,0,ANT,ANT Gaming
Antares Esports,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Antares Esportslogo square.png,1,,0,ANT,Antares Esports
Antic Esports,Asia Pacific,https://lol.fandom.com/wiki/Special:Redirect/file/Antic Esportslogo profile.png,0,,0,ANC,Antic Esports
Anubis Gaming,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Anubis Gaminglogo profile.png,0,,0,ANB,Anubis Gaming
Anyone's Legend,China,https://lol.fandom.com/wiki/Special:Redirect/file/Anyone's Legendlogo profile.png,0,,0,AL,Anyone's Legend
Anyone's Legend.Young,China,https://lol.fandom.com/wiki/Special:Redirect/file/Anyone's Legend.Younglogo profile.png,0,,0,AL.Y,Anyone's Legend.Young
Anzu Esports Club,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Anzu Esports Clublogo square.png,1,,0,ANZ,Anzu Esports Club
AOC Gaming,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/AOC Gaminglogo square.png,1,,0,AOC,AOC Gaming
AOE Gold,North America,https://lol.fandom.com/wiki/Special:Redirect/file/AOE Goldlogo square.png,1,AOE Esports,0,AOE,AOE Gold
Apex Flame Horizon,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Apex Flame Horizonlogo square.png,1,,0,AFH,Apex Flame Horizon
Apex Gaming,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Apexsquare.png,1,,0,APX,Apex Gaming
Apex Gigachad,North America,https://lol.fandom.com/wiki/Special:Redirect/file/Apex Gigachadlogo square.png,1,,0,APX.G,Apex Gigachad
Apex Mission Impossible,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Apex Mission Impossiblelogo square.png,0,,0,AMI,Apex Mission Impossible
